,level_0,level_1,m/z,time,Intens.,SN,Quality Fac.,Res.,Area,Rel. Intens.,FWHM,Chi^2,Bk. Peak,name,hep/hhep,SAA/IS_SAA,hep avg,hep std,SAA avg,SAA std
82,2-9_0_B5_1,2,2791.982275227006,29943.90414857977,1597.0,5.698544722622015,,592.4705028378238,4734.443895080249,0.46586931155192535,4.712440976983544,,0.0,2_9,,,,,,
83,2-9_0_B5_1,3,2819.825875086597,30090.5781594118,3428.0,18.22035842038167,,589.7306953345635,15282.48779526678,1.0,4.781548420990475,,0.0,2_9,,,,,,
84,2-9_0_B6_1,0,1522.424201379283,22216.568647549855,846.0,1.000114382209848,,433.2020331672329,408.0438054306263,0.2211764705882353,3.514351468409586,,0.0,2_9,0.3295426510244944,0.08300172757801655,0.3196690083537339,0.013963439375014102,0.08542544885295764,0.0034276594984335206
85,2-9_0_B6_1,1,1538.342105722099,22330.52010876633,2614.0,13.31882751219778,,673.5517506661582,4916.088102468591,0.6833986928104575,2.2839256288780234,,0.0,2_9,,,,,,
86,2-9_0_B6_1,2,2791.48462905121,29941.2759284254,1719.0,5.953000268245049,,520.4954157340244,5903.986147583519,0.44941176470588234,5.3631300961883435,,0.0,2_9,,,,,,
87,2-9_0_B6_1,3,2819.7001310005,30089.91742143537,3825.0,19.09646449099718,,568.383594416358,17915.69658503683,1.0,4.960910481408063,,0.0,2_9,,,,,,
88,3-1_0_B10_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,3_1,0.24808637377451614,0.0,0.24804935623686866,5.235070372545576e-05,0.0,0.0
89,3-1_0_B10_1,1,1538.489528598329,22331.572674009883,3119.0,9.481054097946505,,828.7261314581235,6224.569327874417,0.8858278898040329,1.856451088239964,,0.0,3_1,,,,,,
90,3-1_0_B10_1,2,2792.234335516991,29945.23526470283,1562.0,3.514755416824068,,510.6974947707221,3931.392791776654,0.44362397046293667,5.467491742387666,,0.0,3_1,,,,,,
91,3-1_0_B10_1,3,2819.991792395724,30091.44996974037,3521.0,14.10029155657673,,552.1000129696869,15846.87111977326,1.0,5.1077553453174005,,0.0,3_1,,,,,,
92,3-1_0_B9_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,3_1,0.24801233869922118,0.0,0.24804935623686866,5.235070372545576e-05,0.0,0.0
93,3-1_0_B9_1,1,1538.473049459164,22331.455019296343,2545.0,8.562129228135284,,865.6007520937076,4586.36581035864,0.8806228373702422,1.7773471727443846,,0.0,3_1,,,,,,
94,3-1_0_B9_1,2,2791.919281701236,29943.571473821838,1434.0,3.837514705508138,,732.8598700486993,3057.943242802017,0.4961937716262976,3.809622269965075,,0.0,3_1,,,,,,
95,3-1_0_B9_1,3,2819.856578072764,30090.739489811425,2890.0,13.48739401636061,,552.8040499798417,12329.80285916565,1.0,5.101005642371093,,0.0,3_1,,,,,,
96,3-2_0_B11_1,0,1522.445910974542,22216.72446871924,1004.0,1.023252561381938,,366.9609648921893,547.0268172716845,0.33838894506235256,4.148795257887516,,0.0,3_2,0.0,0.10287909988619917,0.0,0.0,0.1007715535939303,0.002980520549855629
97,3-2_0_B11_1,1,1538.535183716806,22331.89863066602,2826.0,10.89987402382759,,650.2358372411497,5317.181214423378,0.9524772497472194,2.3661187150873952,,0.0,3_2,,,,,,
98,3-2_0_B11_1,2,2791.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,3_2,,,,,,
99,3-2_0_B11_1,3,2820.054290659668,30091.778359307755,2967.0,9.611198858797568,,567.331982857849,11908.24159369912,1.0,4.9707303234590645,,0.0,3_2,,,,,,
100,3-2_0_B12_1,0,1522.413923248151,22216.494875612094,1228.0,1.204973608752392,,468.4995904550213,890.8840009188527,0.2659735759150964,3.2495523032785054,,0.0,3_2,0.0,0.09866400730166142,0.0,0.0,0.1007715535939303,0.002980520549855629
101,3-2_0_B12_1,1,1538.435631482624,22331.187866976146,4329.0,12.7062510798237,,671.5344871405533,9029.473110645193,0.9376218323586745,2.290925724505087,,0.0,3_2,,,,,,
102,3-2_0_B12_1,2,2791.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,3_2,,,,,,
103,3-2_0_B12_1,3,2820.026546460471,30091.632581224716,4617.0,10.86966368075929,,553.5480306829038,20200.05708806867,1.0,5.094456831472144,,0.0,3_2,,,,,,
104,3-3_0_C1_1,0,1522.388961470031,22216.315709819894,1223.0,1.458013090209974,,525.9944212817779,737.2817205645393,0.2834298957126304,2.894306288952976,,0.0,3_3,0.41782208447875274,0.08169365647993526,0.4310062738907963,0.01864525947540784,0.09065654038462538,0.012675431975988364
105,3-3_0_C1_1,1,1538.4329006746,22331.168369756484,4315.0,15.45442181199323,,642.6603289979267,9024.956799988782,1.0,2.393850734607213,,0.0,3_3,,,,,,
106,3-3_0_C1_1,2,2791.870538793745,29943.314055313567,2067.0,5.678910363983542,,544.9274066190562,6999.54332584492,0.479026651216686,5.123380664803789,,0.0,3_3,,,,,,
107,3-3_0_C1_1,3,2820.028563894909,30091.643181581312,3756.0,14.43712660755869,,554.8597826037428,16752.44939380619,0.8704519119351101,5.0824165893977815,,0.0,3_3,,,,,,
108,3-3_0_C2_1,0,1522.19892415085,22214.95164829052,1204.0,1.547075575243795,,582.2275122864113,837.665143036933,0.293015332197615,2.614440046251275,,0.0,3_3,0.4441904633028399,0.0996194242893155,0.4310062738907963,0.01864525947540784,0.09065654038462538,0.012675431975988364
109,3-3_0_C2_1,1,1538.48122125708,22331.513362869053,4109.0,15.33037230958333,,658.4722237074166,8408.652720218293,1.0,2.3364405754200557,,0.0,3_3,,,,,,
110,3-3_0_C2_1,2,2792.173489305817,29944.913944883265,2211.0,6.525313733701266,,571.4883535560684,7194.68370148581,0.5380871258213678,4.88579246091649,,0.0,3_3,,,,,,
111,3-3_0_C2_1,3,2820.053747973552,30091.775507845086,3781.0,14.758924890826,,560.8760445998143,16197.294394816,0.9201752251155999,5.027944721699896,,0.0,3_3,,,,,,
112,3-4_0_C3_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,3_4,0.24392927837797904,0.0,0.24565984056180024,0.002447384510893396,0.0,0.0
113,3-4_0_C3_1,1,1538.529937503897,22331.86117535474,2271.0,9.313952798254796,,678.1468695303895,3905.816639208097,0.9246742671009772,2.2687267414053167,,0.0,3_4,,,,,,
114,3-4_0_C3_1,2,2791.511082547128,29941.41564332487,1219.0,2.100744831618739,,323.6299487499346,2279.671997639772,0.4963355048859935,8.625626563084552,,0.0,3_4,,,,,,
115,3-4_0_C3_1,3,2819.864659848683,30090.781955765266,2456.0,9.894628396727583,,554.6037658592962,9345.626784937727,1.0,5.08446720602342,,0.0,3_4,,,,,,
116,3-4_0_C4_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,3_4,0.24739040274562146,0.0,0.24565984056180024,0.002447384510893396,0.0,0.0
