,,m/z,time,Intens.,SN,Quality Fac.,Res.,Area,Rel. Intens.,FWHM,Chi^2,Bk. Peak
STD_0_E2_1,59,2465.16875161924,53115.5530750741,52557.46279512595,285.4511287045471,42773.55935154099,5524.137087571634,81177.99696201323,0.21278995886874422,0.44625408684470363,10730943.31529422,0.0
STD_0_E2_1,60,2487.117495410396,53350.17814743238,2760.942738636734,11.10227344364015,1370.014527859643,7461.278950316099,2272.4587746962134,0.011178258244382983,0.3333366185572017,46089.24835390154,0.0
STD_0_E2_1,61,3102.2847411807907,59548.8292523398,3874.873339014339,23.12757592696833,213.2553594576759,6681.004284862707,3932.84440670034,0.015688240919173896,0.4643440729726372,1110116.089790651,0.0
STD_0_E2_1,62,3105.4756579411437,59579.29042577417,4679.019628403322,35.55602276303987,465.7218885785588,2932.221917540383,12428.900394217073,0.01894399655773192,1.059086162395952,1023081.758010767,0.0
STD_0_E2_1,63,3109.4227313559804,59616.9483733656,3078.960458510994,17.86277600494098,317.0176852356304,2459.315782916982,6832.4656366027875,0.01246581997078069,1.26434464128389,462986.6150204116,0.0
STD_0_E2_1,64,3115.291733894197,59672.89872578853,2416.832923269545,7.653999904174484,164.2660478789087,8744.625688878728,1134.9610905991638,0.00978505717332394,0.35625215357773105,103295.0460396439,0.0
STD_0_E2_1,65,3120.53691089177,59722.857414720136,2208.221921335833,6.502185095362532,126.6809682712065,667.3083870506761,9348.393675135521,0.008940451590020198,4.676304046894578,372997.5572826055,0.0
STD_0_E2_1,66,3129.787689654219,59810.86593556047,3461.112323550873,22.79023477346887,144.0721588674606,3625.080736998953,6697.775582595992,0.014013042293144984,0.8633704782656053,1095400.029877967,0.0
STD_0_E2_1,67,3134.839650553118,59858.87349889112,2789.289740119189,14.43316931505947,157.7146965309241,670.3577081619812,20636.287771964286,0.011293027050917975,4.676368470720463,1515987.949416241,0.0
STD_0_E2_1,68,3139.7690771626435,59905.67935144515,3116.817867743502,15.98391031803021,132.325641309572,7096.679890698941,2874.0461955207375,0.012619093666371066,0.4424278853661825,536680.9962295579,0.0
STD_0_E2_1,69,3147.4770010775524,59978.79394032816,25811.1159096124,280.3666645991924,5594.184529381142,3707.397316282659,82761.42947436172,0.10450173963253337,0.8489721312722617,22768675.35843406,0.0
STD_0_E2_1,70,3151.638796596802,60018.233992780784,4764.770752933233,40.99300350485496,240.3447465242641,2611.106078913595,14922.474537810702,0.019291178048071303,1.207012929136953,2815066.522456888,0.0
STD_0_E2_1,71,3163.465833834127,60130.17315876777,9183.916826807816,90.46644480372377,2158.162690929381,3273.57194385426,29194.055911058284,0.037183021780336674,0.966365147334903,2662428.938790924,0.0
STD_0_E2_1,72,3165.278181311885,60147.307942186264,5709.687410632741,43.1326891091397,1584.590874719348,12634.3148955964,3731.0246949911593,0.02311687217470856,0.25053025885994973,1234171.327070684,0.0
STD_0_E2_1,73,3168.3565887759028,60176.40140553316,4383.590749635683,30.7786973395696,2558.885759622333,4264.634210044304,8118.8434866128355,0.0177478905126845,0.7429374789785282,332943.6405821155,0.0
STD_0_E2_1,74,3179.311021271611,60279.81520656293,12353.36009377284,121.7038337881052,21404.49025147032,5165.967541713929,27131.792579321762,0.050015180460508936,0.6154337973669888,1499555.471176556,0.0
STD_0_E2_1,75,3183.2333907237494,60316.80044047001,3036.917459157758,14.97522321806229,366.0424930215602,5257.41129012211,3265.0590309540125,0.012295600031930762,0.6054754355445938,226635.3041127255,0.0
STD_0_E2_1,76,3195.255140972716,60430.01544300131,4552.694265530809,36.44654720465969,757.6853663656553,4515.235734825607,8984.393179717561,0.01843254171687507,0.7076607576273373,685259.9310742627,0.0
STD_0_E2_1,77,3218.2518533005104,60645.99519732602,1213.987153992654,6.729219154699246,624.3855177611331,5333.010202316602,1424.0750377642628,0.004915082708087594,0.6034587842908189,18707.07536823766,0.0
STD_0_E5_1,0,829.3434416804693,30915.30940269108,4300.296485198469,7.067831921982833,9267.505988757051,4644.751839580406,1212.6906373833106,0.014300658553546916,0.17855495198111376,5092.405332784725,0.0
