,,m/z,time,Intens.,SN,Quality Fac.,Res.,Area,Rel. Intens.,FWHM,Chi^2,Bk. Peak,name,hep/hhep,SAA/IS_SAA
2-9_0_B6_1,0,1522.424201,22216.56865,846,1.000114382,,433.2020332,408.0438054,0.221176471,3.514351468,,0,2_9,0.329542651,0.083001728
2-9_0_B6_1,1,1538.342106,22330.52011,2614,13.31882751,,673.5517507,4916.088102,0.683398693,2.283925629,,0,2_9,0.329542651,0.083001728
2-9_0_B6_1,2,2791.484629,29941.27593,1719,5.953000268,,520.4954157,5903.986148,0.449411765,5.363130096,,0,2_9,0.329542651,0.083001728
2-9_0_B6_1,3,2819.700131,30089.91742,3825,19.09646449,,568.3835944,17915.69659,1,4.960910481,,0,2_9,0.329542651,0.083001728
3-1_0_B10_1,0,1526,0,0,0,0,0,0,0,0,0,0,3_1,0.248086374,0
3-1_0_B10_1,1,1538.489529,22331.57267,3119,9.481054098,,828.7261315,6224.569328,0.88582789,1.856451088,,0,3_1,0.248086374,0
3-1_0_B10_1,2,2792.234336,29945.23526,1562,3.514755417,,510.6974948,3931.392792,0.44362397,5.467491742,,0,3_1,0.248086374,0
3-1_0_B10_1,3,2819.991792,30091.44997,3521,14.10029156,,552.100013,15846.87112,1,5.107755345,,0,3_1,0.248086374,0
3-1_0_B9_1,0,1526,0,0,0,0,0,0,0,0,0,0,3_1,0.248012339,0
3-1_0_B9_1,1,1538.473049,22331.45502,2545,8.562129228,,865.6007521,4586.36581,0.880622837,1.777347173,,0,3_1,0.248012339,0
3-1_0_B9_1,2,2791.919282,29943.57147,1434,3.837514706,,732.85987,3057.943243,0.496193772,3.80962227,,0,3_1,0.248012339,0
3-1_0_B9_1,3,2819.856578,30090.73949,2890,13.48739402,,552.80405,12329.80286,1,5.101005642,,0,3_1,0.248012339,0
3-2_0_B11_1,0,1522.445911,22216.72447,1004,1.023252561,,366.9609649,547.0268173,0.338388945,4.148795258,,0,3_2,0,0.1028791
3-2_0_B11_1,1,1538.535184,22331.89863,2826,10.89987402,,650.2358372,5317.181214,0.95247725,2.366118715,,0,3_2,0,0.1028791
3-2_0_B11_1,2,2791,0,0,0,0,0,0,0,0,0,0,3_2,0,0.1028791
3-2_0_B11_1,3,2820.054291,30091.77836,2967,9.611198859,,567.3319829,11908.24159,1,4.970730323,,0,3_2,0,0.1028791
3-2_0_B12_1,0,1522.413923,22216.49488,1228,1.204973609,,468.4995905,890.8840009,0.265973576,3.249552303,,0,3_2,0,0.098664007
3-2_0_B12_1,1,1538.435631,22331.18787,4329,12.70625108,,671.5344871,9029.473111,0.937621832,2.290925725,,0,3_2,0,0.098664007
3-2_0_B12_1,2,2791,0,0,0,0,0,0,0,0,0,0,3_2,0,0.098664007
3-2_0_B12_1,3,2820.026546,30091.63258,4617,10.86966368,,553.5480307,20200.05709,1,5.094456831,,0,3_2,0,0.098664007
