level_0,level_1,m/z,time,Intens.,SN,Quality Fac.,Res.,Area,Rel. Intens.,FWHM,Chi^2,Bk. Peak,Tail,id,name,hep/hhep,SAA/IS_SAA,tag,hep avg,hep std,hep CV,SAA avg,SAA std,SAA CV
38_7_0_B2_1,1,1538.455825025608,22331.332042787184,20570.0,17.87405516367329,,574.1152395324508,60121.57808975936,0.8810176460510536,2.6796986372953606,,0.0,2,B02,,,,,,,,,,
38_7_0_B2_1,2,2792.844349601679,29948.45646249252,7762.0,12.20276046394499,,492.1085238348748,41568.13676374096,0.33244817543258526,5.675261074199169,,0.0,2,B02,,,,,,,,,,
38_7_0_B2_1,3,2820.938991031383,30096.426514689527,23348.0,45.6537203370525,,503.6341747849668,139546.0388702134,1.0,5.601166744166676,,0.0,2,B02,,,,,,,,,,
38_8_0_B3_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,3,B03,38_8,0.07170733543543183,0.0,38_8,0.07233085691592564,0.000666572500943878,0.9215603538593135,0.0,0.0,
38_8_0_B3_1,1,1538.561876374495,22332.089201765266,20315.0,14.47255078974451,,552.7968633576521,59591.94706830505,0.6739988719684151,2.7832319218118755,,0.0,3,B03,,,,,,,,,,
38_8_0_B3_1,2,2792.488773536101,29946.578875704494,3538.0,2.890795316214968,,446.4575403984595,13122.49693533996,0.11738163962708603,6.254768977681122,,0.0,3,B03,,,,,,,,,,
38_8_0_B3_1,3,2821.052736107154,30097.024069938852,30141.0,50.9157750649638,,492.0365493165609,183000.7607402451,1.0,5.733421104642731,,0.0,3,B03,,,,,,,,,,
38_8_0_B4_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,4,B04,38_8,0.07295437839641945,0.0,,,,,,,
38_8_0_B4_1,1,1538.633639671125,22332.60154450245,18077.0,13.44818388556774,,539.2867218420535,53659.36790180201,0.6082436069986541,2.8530901603057837,,0.0,4,B04,,,,,,,,,,
38_8_0_B4_1,2,2792.690872307519,29947.646054587778,3491.0,2.787827943492875,,394.9721172253298,13480.64240949203,0.11746298788694481,7.070602583104117,,0.0,4,B04,,,,,,,,,,
38_8_0_B4_1,3,2821.135872068899,30097.460813694306,29720.0,49.80068207916494,,480.3943483358694,184781.8144133985,1.0,5.872541760413243,,0.0,4,B04,,,,,,,,,,
38_9_0_B5_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,5,B05,38_9,0.1232022228713476,0.0,38_9,0.1261233519285357,0.003122818318441556,2.476003270362664,0.0,0.0,
38_9_0_B5_1,1,1538.646351119808,22332.692294627013,20007.0,15.20155402499206,,541.6155691206807,59441.22931398892,0.5553180859331631,2.8408458671485732,,0.0,5,B05,,,,,,,,,,
38_9_0_B5_1,2,2792.850736923341,29948.490189050543,5633.0,5.072208537635721,,474.5359051616175,27551.02298128205,0.15635061618740978,5.885436078798192,,0.0,5,B05,,,,,,,,,,
38_9_0_B5_1,3,2821.133070506494,30097.44609616378,36028.0,49.74486024432208,,487.7226103975266,223624.3984822568,1.0,5.784298308842154,,0.0,5,B05,,,,,,,,,,
38_9_0_B6_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,6,B06,38_9,0.12904448098572374,0.0,,,,,,,
38_9_0_B6_1,1,1538.696812777052,22333.052548938722,19674.0,13.85659894367553,,522.5640804252068,60289.34631506768,0.557684676002041,2.944513161955228,,0.0,6,B06,,,,,,,,,,
38_9_0_B6_1,2,2792.980730405447,29949.17657666141,5810.0,5.066754394530046,,486.8070693469307,28754.27222515216,0.16469187595668688,5.7373462841292175,,0.0,6,B06,,,,,,,,,,
38_9_0_B6_1,3,2821.196108027118,30097.777251240335,35278.0,47.05447617436298,,479.5069893762273,222824.5021058534,1.0,5.883534902582142,,0.0,6,B06,,,,,,,,,,
38_10_0_B7_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,7,B07,38_10,0.10998743349585294,0.0,38_10,0.10493653268174455,0.005399640097420274,5.145624654662933,0.0,0.0,
38_10_0_B7_1,1,1538.620605637502,22332.508490972294,15131.0,11.76013554260358,,562.0853667810592,45127.88197120466,0.6130875202593193,2.737343287281873,,0.0,7,B07,,,,,,,,,,
38_10_0_B7_1,2,2792.668966388735,29947.53038267416,3634.0,2.667344522127246,,449.8387847901028,16443.3559245623,0.14724473257698542,6.208155145385717,,0.0,7,B07,,,,,,,,,,
38_10_0_B7_1,3,2821.083801699616,30097.187269674665,24680.0,34.90751201747575,,488.9846617399354,149502.1331248928,1.0,5.769268491288584,,0.0,7,B07,,,,,,,,,,
38_10_0_B8_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,8,B08,38_10,0.09988563186763616,0.0,,,,,,,
38_10_0_B8_1,1,1538.73801069897,22333.34666345118,10382.0,6.235492047251663,,534.7176493339082,33580.97850860808,0.7055865162430338,2.8776645255973103,,0.0,8,B08,,,,,,,,,,
38_10_0_B8_1,2,2793.114314048331,29949.88190405872,2881.0,2.711429631059288,,418.939641503015,8440.063932873074,0.19579991844501834,6.667104368609217,,0.0,8,B08,,,,,,,,,,
38_10_0_B8_1,3,2821.55829205678,30099.67984031699,14714.0,37.98298151001239,,490.1272366532156,84497.27728666179,1.0,5.75678738305487,,0.0,8,B08,,,,,,,,,,
38_11_0_B9_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9,B09,38_11,0.04199298982419718,0.0,38_11,0.03994528172616177,0.002189092037420265,5.480226807329139,0.0,0.0,
38_11_0_B9_1,1,1538.545358859095,22331.971275860484,13500.0,13.13687705335585,,566.54941471517,38493.55561952776,0.8442776735459663,2.715641952666373,,0.0,9,B09,,,,,,,,,,
38_11_0_B9_1,2,2790.786578053789,29937.588909455884,2076.0,1.302136722335907,,479.784642224775,3818.695252821593,0.12983114446529082,5.816748458460097,,0.0,9,B09,,,,,,,,,,
38_11_0_B9_1,3,2821.041675669009,30096.965964901345,15990.0,37.83081631512081,,503.3780747392402,90936.49365783397,1.0,5.604220400601206,,0.0,9,B09,,,,,,,,,,
38_11_0_B10_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,10,B10,38_11,0.03789757362812636,0.0,,,,,,,
38_11_0_B10_1,1,1538.386682676936,22330.8383832887,11194.0,13.52439770379029,,572.7141146769038,31869.09896070007,0.871331828442438,2.686133697865672,,0.0,10,B10,,,,,,,,,,
38_11_0_B10_1,2,2789.559421457778,29931.106086746695,1721.0,1.128416091826747,,352.8374384959973,2646.856947615335,0.13396123608624583,7.906075481526385,,0.0,10,B10,,,,,,,,,,
38_11_0_B10_1,3,2820.871339975082,30096.071106752624,12847.0,37.57241394231038,,519.8301159977825,69842.38552018862,1.0,5.426525422753912,,0.0,10,B10,,,,,,,,,,
38_12_0_B11_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,11,B11,38_12,0.11950899891424678,0.0,38_12,0.11920094587524005,0.00032932255111904347,0.27627511568886726,0.0,0.0,
38_12_0_B11_1,1,1538.222140889809,22329.663550006597,12051.0,13.23912114413327,,587.188584297435,33342.7918578801,0.7238707352234502,2.6196390427621745,,0.0,11,B11,,,,,,,,,,
38_12_0_B11_1,2,2792.22776005923,29945.200540856393,2931.0,4.250373539369872,,515.9079556087153,10736.9142059336,0.17605718404613166,5.4122595507656115,,0.0,11,B11,,,,,,,,,,
38_12_0_B11_1,3,2820.420318410834,30093.70153377472,16648.0,45.01706246203619,,532.293541194496,89841.88892451381,1.0,5.2986183376970075,,0.0,11,B11,,,,,,,,,,
38_12_0_B12_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,12,B12,38_12,0.11889289283623332,0.0,,,,,,,
38_12_0_B12_1,1,1537.907765140476,22327.41872123865,8840.0,13.40648033427829,,620.2275445373062,23255.07343077461,0.7670281995661605,2.4795863690442275,,0.0,12,B12,,,,,,,,,,
38_12_0_B12_1,2,2791.933120119822,29943.644556143234,2301.0,4.216234031612488,,530.2050269694473,7592.616310130474,0.1996529284164859,5.265761315161399,,0.0,12,B12,,,,,,,,,,
38_12_0_B12_1,3,2819.998194124946,30091.483607021743,11525.0,40.24637198078862,,517.555214317693,63860.97712828616,1.0,5.448690528299721,,0.0,12,B12,,,,,,,,,,
40_1_0_C1_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,1,C01,40_1,0.08989861813428182,0.0,40_1,0.09202543784760969,0.002273665911630637,2.4706928484227735,0.0,0.0,
40_1_0_C1_1,1,1538.506392554294,22331.693075508305,17565.0,19.25428958379428,,556.3464447035867,51904.03505418463,0.9407133676092545,2.7653747178594585,,0.0,1,C01,,,,,,,,,,
40_1_0_C1_1,2,2792.328891263675,29945.734592537818,3115.0,2.699887560058069,,467.9064206950683,9362.709952696301,0.1668273350471294,5.96770800262948,,0.0,1,C01,,,,,,,,,,
